review,rating,date,bank,source,cleaned_text,textblob_sentiment,vader_sentiment,transformer_sentiment,transformer_score
ቆንጆ ነው,5,2025-03-31,CBE,Google Play,ቆንጆ ነው,neutral,neutral,NEGATIVE,0.7850592732429504
Great version,5,2025-03-31,CBE,Google Play,great version,positive,positive,POSITIVE,0.9998726844787598
excellent,5,2025-03-31,CBE,Google Play,excellent,positive,positive,POSITIVE,0.9998434782028198
Good and easy to use,5,2025-03-31,CBE,Google Play,good easy use,positive,positive,POSITIVE,0.9997110962867737
nice app and fast money transfer,5,2025-03-31,CBE,Google Play,nice app fast money transfer,positive,positive,POSITIVE,0.9987881779670715
Really automated...,5,2025-03-31,CBE,Google Play,really automated,positive,neutral,POSITIVE,0.9948042035102844
good App,5,2025-03-31,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
bek betam kelal,5,2025-03-31,CBE,Google Play,bek betam kelal,neutral,neutral,POSITIVE,0.932547926902771
ምርጥ አፕ ነው ተመችቶኛል❤❤,3,2025-03-31,CBE,Google Play,ምርጥ አፕ ነው,neutral,neutral,NEGATIVE,0.8337253928184509
Recently app keeps closing and the notification after says this app has a bug. Can you make an update please,4,2025-03-31,CBE,Google Play,recently app keep closing notification say app bug make update please,neutral,positive,NEGATIVE,0.9961472749710083
"very good, keep it up",5,2025-03-31,CBE,Google Play,good keep,positive,positive,POSITIVE,0.9998505115509033
there is some issue the process it delay,3,2025-03-31,CBE,Google Play,issue process delay,neutral,negative,NEGATIVE,0.9985427856445312
what an amazing application in Ethiopian Banking industry which is very interested one!,5,2025-03-31,CBE,Google Play,amazing application ethiopian banking industry interested one,positive,positive,POSITIVE,0.9997395873069763
nice,5,2025-03-30,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
interesting,3,2025-03-30,CBE,Google Play,interesting,positive,positive,POSITIVE,0.9998446702957153
very good,5,2025-03-30,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
good,5,2025-03-30,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
simple&fast!!!,5,2025-03-30,CBE,Google Play,simple fast,positive,neutral,POSITIVE,0.9994630217552185
best app,5,2025-03-30,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
great,5,2025-03-30,CBE,Google Play,great,positive,positive,POSITIVE,0.9998630285263062
it is very good app,5,2025-03-30,CBE,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
best,5,2025-03-30,CBE,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
It is very excellent anddynamic plus user friend all in one bank apps of the era. I loved it.,5,2025-03-30,CBE,Google Play,excellent anddynamic plus user friend one bank apps era loved,positive,positive,POSITIVE,0.9996999502182007
Very God thanks,5,2025-03-30,CBE,Google Play,god thanks,positive,positive,POSITIVE,0.9996486902236938
The sum is good.,3,2025-03-30,CBE,Google Play,sum good,positive,positive,POSITIVE,0.9998421669006348
best of bests,5,2025-03-30,CBE,Google Play,best best,positive,positive,POSITIVE,0.9998223185539246
am happy thank you CBE🫡,5,2025-03-30,CBE,Google Play,happy thank,positive,positive,POSITIVE,0.9998639822006226
it's very nice 👍.,5,2025-03-30,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
👍,5,2025-03-30,CBE,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,2025-03-30,CBE,Google Play,history sometimes miss transaction tranfer cbe birr debited really transferred need really cop world real hack security problem invest solve,positive,neutral,NEGATIVE,0.9973094463348389
Very good,5,2025-03-30,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
halan garidhaa cbe,5,2025-03-30,CBE,Google Play,halan garidhaa cbe,neutral,neutral,POSITIVE,0.9760899543762207
best apps for useing,5,2025-03-30,CBE,Google Play,best apps useing,positive,positive,POSITIVE,0.9995526671409607
like it,5,2025-03-29,CBE,Google Play,like,neutral,positive,POSITIVE,0.9910564422607422
good,5,2025-03-29,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
Good apps ...But fix the screenshot its not easy like before ......,5,2025-03-29,CBE,Google Play,good apps fix screenshot easy like,positive,positive,POSITIVE,0.9921566247940063
l love it,5,2025-03-29,CBE,Google Play,l love,positive,positive,POSITIVE,0.9998512268066406
"I am not exaggerating when I say that this application is one of the biggest players in the banking industry. It has simplified a lot of things for the user, even if the bank is in his pocket. But my opinion is (1), when we transfer money, there is a word limit on the (Note) at the end. Why can't we write our reason briefly? I don't understand why it is limited. On the other hand, there is no limit on the bank. Could you explain this? (2), when we pay for water, why is the code not mentioned",5,2025-03-29,CBE,Google Play,exaggerating say application one biggest player banking industry simplified lot thing user even bank pocket opinion 1 transfer money word limit note end ca write reason briefly understand limited hand limit bank could explain 2 pay water code mentioned,negative,positive,NEGATIVE,0.9931245446205139
Good,5,2025-03-29,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE,Google Play,update screenshoot disabled working,negative,neutral,NEGATIVE,0.9996336698532104
good,5,2025-03-28,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
"realy I donot seen like this application ! fast ,safe ande confortable",5,2025-03-28,CBE,Google Play,realy donot seen like application fast safe ande confortable,positive,positive,NEGATIVE,0.9689772129058838
Excellent but needed upgrading!,5,2025-03-28,CBE,Google Play,excellent needed upgrading,positive,positive,POSITIVE,0.9994764924049377
Best app,5,2025-03-28,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
goods app!! pleace update this apps??,4,2025-03-28,CBE,Google Play,good app pleace update apps,positive,positive,POSITIVE,0.9991708993911743
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE,Google Play,latest update prevents taking screenshots really annoying please allow u take screenshots need evidence particularly case transfer failure,negative,negative,NEGATIVE,0.9985018968582153
wow,5,2025-03-27,CBE,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
Fantastic app! I appreciate it very much,5,2025-03-27,CBE,Google Play,fantastic app appreciate much,positive,positive,POSITIVE,0.9998669624328613
Convenient app,5,2025-03-27,CBE,Google Play,convenient app,neutral,neutral,POSITIVE,0.9977468848228455
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE,Google Play,work properly crash many time commercial bank ethiopia application also sending money cbe birr get money bank account forcefully must wait day get money back account walk cbe world going decentralized finance,positive,negative,NEGATIVE,0.9939002990722656
Good,5,2025-03-26,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE,Google Play,crash multiple time everytime launch fix edit crash fixed screenshots disabled know thought good idea,positive,negative,NEGATIVE,0.9989456534385681
why why u remove screen shoot😡😡,2,2025-03-26,CBE,Google Play,u remove screen,neutral,neutral,NEGATIVE,0.9987919926643372
good,5,2025-03-26,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE,Google Play,fails mid transaction screenshot download work link shared working bring back old app usless,negative,negative,NEGATIVE,0.999697208404541
very nice one,5,2025-03-26,CBE,Google Play,nice one,positive,positive,POSITIVE,0.9998481273651123
good application,5,2025-03-25,CBE,Google Play,good application,positive,positive,POSITIVE,0.999854564666748
problem solver and the best fast app,5,2025-03-25,CBE,Google Play,problem solver best fast app,positive,positive,POSITIVE,0.9987717270851135
ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,5,2025-03-25,CBE,Google Play,ምርጥ አፕሊከሽን ነው ገንዘብ ለመላክም ሆነ ለማንኛውም ነገር ተመችቶኛል በዚው ቀጥሉበት,neutral,neutral,NEGATIVE,0.9445853233337402
nice,5,2025-03-25,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
Please bring back the screenshot option. The screenshot download option takes like 15 second appear in gallery and most people don't know about it.,3,2025-03-25,CBE,Google Play,please bring back screenshot option screenshot download option take like 15 second appear gallery people know,neutral,positive,NEGATIVE,0.9801673293113708
ok,5,2025-03-25,CBE,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
you must added dark mode options ❗,3,2025-03-25,CBE,Google Play,must added dark mode option,negative,neutral,NEGATIVE,0.9707053899765015
good,5,2025-03-25,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
Thank you,5,2025-03-25,CBE,Google Play,thank,neutral,positive,POSITIVE,0.9998283386230469
cbe,5,2025-03-25,CBE,Google Play,cbe,neutral,neutral,POSITIVE,0.9966009855270386
ممتاز جدا جدا,5,2025-03-24,CBE,Google Play,ممتاز جدا جدا,neutral,neutral,NEGATIVE,0.8608055114746094
very nice and convenient app,5,2025-03-24,CBE,Google Play,nice convenient app,positive,positive,POSITIVE,0.9994218349456787
there are to many bugs app keeps crashi ng and the update file seems to keep getting worse,2,2025-03-24,CBE,Google Play,many bug app keep crashi ng update file seems keep getting worse,positive,negative,NEGATIVE,0.99957674741745
👍👍👍,5,2025-03-24,CBE,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
Very good,5,2025-03-24,CBE,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
Great experience so far but why this app ain't working while developer mode is on?,4,2025-03-24,CBE,Google Play,great experience far app ai working developer mode,positive,positive,POSITIVE,0.9977847933769226
why did the screen shot stopped ?????,3,2025-03-24,CBE,Google Play,screen shot stopped,neutral,negative,NEGATIVE,0.9994801878929138
nice,5,2025-03-24,CBE,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
Best app,5,2025-03-24,CBE,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
it's genuine app..,5,2025-03-24,CBE,Google Play,genuine app,positive,neutral,POSITIVE,0.9998650550842285
okay 👌👍,5,2025-03-24,CBE,Google Play,okay,positive,positive,POSITIVE,0.9997709393501282
it's a very good application but sometimes it takes a long time to synchronize,4,2025-03-23,CBE,Google Play,good application sometimes take long time synchronize,positive,positive,NEGATIVE,0.6598004698753357
commercial dank...,5,2025-03-23,CBE,Google Play,commercial dank,neutral,neutral,POSITIVE,0.7676740884780884
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen,Google Play,like mobile banking app much overall user interface navigation awesome lack instant response someone deposit withdraw money,positive,positive,NEGATIVE,0.9986687898635864
love,3,2025-06-06,Dashen,Google Play,love,positive,positive,POSITIVE,0.9998735189437866
መቸሸጠ,5,2025-06-03,Dashen,Google Play,መቸሸጠ,neutral,neutral,NEGATIVE,0.6970565915107727
wow,5,2025-06-03,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
gadaa,5,2025-06-01,Dashen,Google Play,gadaa,neutral,neutral,NEGATIVE,0.7211450338363647
Massive upgrade from the Amole app.,5,2025-05-31,Dashen,Google Play,massive upgrade amole app,neutral,neutral,POSITIVE,0.7140388488769531
good,4,2025-05-31,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
very good for this app,5,2025-05-31,Dashen,Google Play,good app,positive,positive,POSITIVE,0.9998493194580078
top,5,2025-05-31,Dashen,Google Play,top,positive,positive,POSITIVE,0.9997069239616394
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen,Google Play,app better amole biometric new update work,positive,positive,NEGATIVE,0.9019681811332703
Wow,5,2025-05-30,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
good,5,2025-05-30,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
wow to it saff and this app,5,2025-05-30,Dashen,Google Play,wow saff app,positive,positive,POSITIVE,0.9958081245422363
it too slow,3,2025-05-29,Dashen,Google Play,slow,negative,neutral,NEGATIVE,0.9997313618659973
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen,Google Play,ዳሽን ባንክ ይለያል,neutral,neutral,NEGATIVE,0.8337253928184509
real life changer,5,2025-05-28,Dashen,Google Play,real life changer,positive,neutral,POSITIVE,0.9997788071632385
👍👍👍,5,2025-05-28,Dashen,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
good,5,2025-05-28,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
nice application,5,2025-05-27,Dashen,Google Play,nice application,positive,positive,POSITIVE,0.9998229146003723
good,5,2025-05-27,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
wow,5,2025-05-27,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
useless app ever loading take long,1,2025-05-27,Dashen,Google Play,useless app ever loading take long,negative,negative,NEGATIVE,0.9997350573539734
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen,Google Play,game changer app dashen bank super app fast secure easy use payment make sending money super quick qr code payment perfect cashless shopping also love biometric login easy airtime bill payment everything need one place dashen bank really raised bar digital banking ethiopia highly recommended,positive,positive,POSITIVE,0.9925314784049988
very useful App,1,2025-05-26,Dashen,Google Play,useful app,positive,positive,POSITIVE,0.9991915822029114
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen,Google Play,simple robust feature yes please endless loading screen killed use day fix glitch yeet higher rating,negative,positive,POSITIVE,0.7622608542442322
Wawww,5,2025-05-24,Dashen,Google Play,wawww,neutral,neutral,NEGATIVE,0.9418039321899414
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen,Google Play,good time say duplicate transaction,positive,positive,POSITIVE,0.7822754383087158
very Nice,5,2025-05-23,Dashen,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
its best,5,2025-05-23,Dashen,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen,Google Play,good mobile bank app,positive,positive,POSITIVE,0.9997158646583557
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen,Google Play,best best arrived empowering financial freedom experience seamless banking fingertip dashen bank empowering financial freedom anytime anywhere innovation meet convenience dashen bank mobile banking innovation meet convenience secure reliable bank confidence,positive,positive,POSITIVE,0.994884192943573
wow,5,2025-05-20,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen,Google Play,nothing changed updated version collecting comment feed back improved version superapp mot functioning today,neutral,positive,NEGATIVE,0.9801502227783203
good,5,2025-05-20,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
its best,5,2025-05-19,Dashen,Google Play,best,positive,positive,POSITIVE,0.9997941851615906
The best app ever in finance sector,5,2025-05-18,Dashen,Google Play,best app ever finance sector,positive,positive,POSITIVE,0.9996483325958252
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen,Google Play,good app compitators confuse transfer need otp pin user inter pin instead otp know litrecy level society device based dont know need otp please try fix,positive,positive,NEGATIVE,0.7498539686203003
dashen bank or dashen super app?,1,2025-05-17,Dashen,Google Play,dashen bank dashen super app,positive,positive,NEGATIVE,0.5405235886573792
wowwwe app,5,2025-05-17,Dashen,Google Play,wowwwe app,neutral,neutral,POSITIVE,0.9829692840576172
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Dashen,Google Play,transferring bank account hastle inconvenient used seeing please try,negative,neutral,NEGATIVE,0.9970412850379944
good,5,2025-05-16,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
always lagging,1,2025-05-16,Dashen,Google Play,always lagging,neutral,negative,NEGATIVE,0.9998013377189636
Amazing Application...,5,2025-05-16,Dashen,Google Play,amazing application,positive,positive,POSITIVE,0.9998698234558105
Fantastic,5,2025-05-16,Dashen,Google Play,fantastic,positive,positive,POSITIVE,0.9998743534088135
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Dashen,Google Play,dashen bank app good sometimes working well,positive,positive,POSITIVE,0.9990540146827698
its my choice,5,2025-05-15,Dashen,Google Play,choice,neutral,neutral,POSITIVE,0.9985694885253906
wow apo,5,2025-05-15,Dashen,Google Play,wow apo,positive,positive,POSITIVE,0.9994785189628601
awesome app keep going,5,2025-05-14,Dashen,Google Play,awesome app keep going,positive,positive,POSITIVE,0.9998502731323242
wow,5,2025-05-14,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
👍,5,2025-05-14,Dashen,Google Play,,neutral,neutral,POSITIVE,0.748120903968811
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Dashen,Google Play,grows ethiopian digital banking step fetures one simple fast convince,positive,positive,POSITIVE,0.9717165231704712
Game changer,5,2025-05-13,Dashen,Google Play,game changer,negative,neutral,POSITIVE,0.9887570738792419
Totally amazing,5,2025-05-13,Dashen,Google Play,totally amazing,positive,positive,POSITIVE,0.9998782873153687
super 😎,5,2025-05-13,Dashen,Google Play,super,positive,positive,POSITIVE,0.998783528804779
what a helpful app!!!!,5,2025-05-13,Dashen,Google Play,helpful app,neutral,positive,POSITIVE,0.9995542168617249
Good,4,2025-05-13,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
nice,5,2025-05-13,Dashen,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
wow,5,2025-05-13,Dashen,Google Play,wow,positive,positive,POSITIVE,0.999592125415802
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Dashen,Google Play,honest best banking lifestyle app ethiopia,positive,positive,POSITIVE,0.9996052384376526
fast,5,2025-05-12,Dashen,Google Play,fast,positive,neutral,POSITIVE,0.9989494681358337
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Dashen,Google Play,must seamless one digital platform db superapp keep living motto always one step ahead,positive,neutral,POSITIVE,0.9956278800964355
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Dashen,Google Play,app make digital banking effortless convenient interface secure transaction excellent feature managing finance efficiently,positive,positive,POSITIVE,0.9694322943687439
good,5,2025-05-09,Dashen,Google Play,good,positive,positive,POSITIVE,0.9998161196708679
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Dashen,Google Play,amazing app super easy use best design loved,positive,positive,POSITIVE,0.9996820688247681
its the best ever,5,2025-05-09,Dashen,Google Play,best ever,positive,positive,POSITIVE,0.999841570854187
nice,5,2025-05-08,Dashen,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
excellent game changer App,5,2025-05-08,Dashen,Google Play,excellent game changer app,positive,positive,POSITIVE,0.9998358488082886
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Dashen,Google Play,highly excited using application favorable well preferrable mobile app,positive,positive,POSITIVE,0.9988784193992615
it seems me logging out within minutes,1,2025-05-03,Dashen,Google Play,seems logging within minute,neutral,neutral,NEGATIVE,0.9239580631256104
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Dashen,Google Play,nice app especially gui got error send within dashen bank receipter get sm notification,positive,neutral,NEGATIVE,0.9544067978858948
yes i want dashen super open,5,2025-05-02,Dashen,Google Play,yes want dashen super open,positive,positive,POSITIVE,0.9973095655441284
Best App,5,2025-05-02,Dashen,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
faster than this version,5,2025-05-01,Dashen,Google Play,faster version,neutral,neutral,POSITIVE,0.9985572695732117
"Best UI mobile banking app, props to design team",5,2025-04-30,Dashen,Google Play,best ui mobile banking app prop design team,positive,positive,POSITIVE,0.9993069171905518
thank you,4,2025-04-30,Dashen,Google Play,thank,neutral,positive,POSITIVE,0.9998283386230469
great app,5,2025-04-30,Dashen,Google Play,great app,positive,positive,POSITIVE,0.999821126461029
bad.,1,2025-04-30,Dashen,Google Play,bad,negative,negative,NEGATIVE,0.999782383441925
Dashen bank always one step ahead,5,2025-04-30,Dashen,Google Play,dashen bank always one step ahead,neutral,neutral,POSITIVE,0.9996015429496765
dashen super app is secure band very easy,5,2025-04-29,Dashen,Google Play,dashen super app secure band easy,positive,positive,POSITIVE,0.8955522775650024
It is very fast and secured mobile banking app! I like this app!,5,2025-04-29,Dashen,Google Play,fast secured mobile banking app like app,positive,positive,POSITIVE,0.9950631260871887
best app I have ever seen,5,2025-04-29,Dashen,Google Play,best app ever seen,positive,positive,POSITIVE,0.9994105100631714
best of best,5,2025-04-29,Dashen,Google Play,best best,positive,positive,POSITIVE,0.9998223185539246
waw,5,2025-04-28,Dashen,Google Play,waw,neutral,neutral,NEGATIVE,0.7346174716949463
best app,5,2025-04-28,Dashen,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
Its slow when i try to see the Recent Transaction and stucked,1,2025-04-28,Dashen,Google Play,slow try see recent transaction stucked,negative,neutral,NEGATIVE,0.9987096786499023
wowslnwoooo wowwww amazing !!!!!!!!,5,2025-04-28,Dashen,Google Play,wowslnwoooo wowwww amazing,positive,positive,POSITIVE,0.9997797608375549
wow appl,5,2025-04-28,Dashen,Google Play,wow appl,positive,positive,POSITIVE,0.9994691014289856
why do i have to change a pin number i use my finger print so dummy,1,2025-04-27,Dashen,Google Play,change pin number use finger print dummy,neutral,positive,NEGATIVE,0.9972420930862427
very nice,5,2025-04-26,Dashen,Google Play,nice,positive,positive,POSITIVE,0.9998552799224854
great,4,2025-04-26,Dashen,Google Play,great,positive,positive,POSITIVE,0.9998630285263062
"It is very slow and it lacks many features to be a super app. High rating is given by their employees, not by the customers.",1,2025-04-25,Dashen,Google Play,slow lack many feature super app high rating given employee customer,positive,positive,NEGATIVE,0.9995512366294861
"Smooth and secure experience transfers, bill payments, and tracking expenses are all effortless. The intuitive design makes banking on the go.",5,2025-04-24,Dashen,Google Play,smooth secure experience transfer bill payment tracking expense effortless intuitive design make banking go,positive,positive,POSITIVE,0.9991734623908997
Very easy and Fast.,5,2025-04-24,Dashen,Google Play,easy fast,positive,positive,POSITIVE,0.997892439365387
Incomparably user-friendly and fast app for mobile banking.,5,2025-04-24,Dashen,Google Play,incomparably fast app mobile banking,positive,neutral,NEGATIVE,0.9681089520454407
"there is nothing super about this app, repeatedly failed transaction and wastes customer valuable time. if you have to do system upgrade do it at a time when there is less traffic demand. your Technical difficulty should not be reflected on customer.",2,2025-04-24,Dashen,Google Play,nothing super app repeatedly failed transaction waste customer valuable time system upgrade time less traffic demand technical difficulty reflected customer,negative,negative,NEGATIVE,0.995960533618927
execellent,5,2025-04-24,Dashen,Google Play,execellent,neutral,neutral,NEGATIVE,0.9866806864738464
"This super app is a total game-changer—fast, reliable, and packed with everything I need in one place. It’s seamless and super convenient. Love it!""",5,2025-04-23,Dashen,Google Play,super app total reliable packed everything need one place seamless super convenient love,positive,positive,POSITIVE,0.7819880843162537
All in One ✍️secure ✍️reliable ✍️convenient. Digital banking game changer!!,5,2025-04-23,Dashen,Google Play,one digital banking game changer,negative,neutral,NEGATIVE,0.9615413546562195
it is incredible product.,5,2025-04-23,Dashen,Google Play,incredible product,positive,neutral,POSITIVE,0.9998781681060791
"I'm really impressed with this app! It’s user-friendly, runs smoothly, and has all the features I need. Makes my tasks so much easier and saves me a lot of time. Highly recommended!",5,2025-04-23,Dashen,Google Play,really impressed app run smoothly feature need make task much easier save lot time highly recommended,positive,positive,POSITIVE,0.9959664344787598
best app,5,2025-04-23,Dashen,Google Play,best app,positive,positive,POSITIVE,0.999686598777771
ok,5,2025-04-23,Dashen,Google Play,ok,positive,positive,POSITIVE,0.9997851252555847
"It's an amazing app, experience it!!",5,2025-04-23,Dashen,Google Play,amazing app experience,positive,positive,POSITIVE,0.9998388290405273
This is the best banking app ever. I recommend everyone to use it.,5,2025-04-23,Dashen,Google Play,best banking app ever recommend everyone use,positive,positive,POSITIVE,0.9995530247688293
It is the best application!!!,5,2025-04-22,Dashen,Google Play,best application,positive,positive,POSITIVE,0.9998098015785217
"Exceptional digital experience, SupperApp will bring new paradigm shift in the banking business. Bravo Dashen keep it up!!!!",5,2025-04-22,Dashen,Google Play,exceptional digital experience supperapp bring new paradigm shift banking business bravo dashen keep,positive,neutral,POSITIVE,0.99946528673172
its features are so dynamic,5,2025-04-22,Dashen,Google Play,feature dynamic,neutral,positive,POSITIVE,0.9995842576026917
fast &Friendly user Application.,5,2025-04-22,Dashen,Google Play,fast friendly user application,positive,positive,POSITIVE,0.9984002709388733
"Fast, Reliable and User Friendly. Keep it Up",5,2025-04-22,Dashen,Google Play,fast reliable user friendly keep,positive,positive,POSITIVE,0.9996548891067505
"#dashen super app is easy to use, secure & fast transaction😍",5,2025-04-22,Dashen,Google Play,dashen super app easy use secure fast,positive,positive,NEGATIVE,0.5672628283500671
i love this app esp 3 click that make e-commerce easier and convinient.,5,2025-04-22,Dashen,Google Play,love app esp 3 click make easier convinient,positive,positive,POSITIVE,0.9915736317634583
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,5,2025-04-22,Dashen,Google Play,dashen super app contains extended selection customer easily accessible also friendly use,positive,positive,POSITIVE,0.9947499632835388
Great for everyday banking and payments on the go,5,2025-04-22,Dashen,Google Play,great everyday banking payment go,positive,positive,POSITIVE,0.9995524287223816
"""Dashen Super App'' is impressive with its focus on simplicity, speed, and quality. The user interface is clean and easy to understand. Transactions process quickly, and the overall quality of the app is top-notch. A must-have for Dashen Bank customers. ዳሸን ባንክ አንድ እርምጃ ቀዳሚ።",5,2025-04-22,Dashen,Google Play,dashen super app impressive focus simplicity speed quality user interface clean easy understand transaction process quickly overall quality app dashen bank customer ዳሸን ባንክ አንድ እርምጃ,positive,positive,POSITIVE,0.9983946681022644
making transactions has never been easier. the new update is just amazing,5,2025-04-22,Dashen,Google Play,making transaction never easier new update amazing,positive,positive,POSITIVE,0.9825519323348999
"The app has various usefull functions, which make easy the payment system. Also, it will connect with sellers having reasonable prices.",5,2025-04-22,Dashen,Google Play,app various usefull function make easy payment system also connect seller reasonable price,positive,positive,NEGATIVE,0.5802711248397827
The app has great user interface with comprehensive payments and E-commerce platforms. And also it includes unique features such as chat Banking and budget.,5,2025-04-22,Dashen,Google Play,app great user interface comprehensive payment platform also includes unique feature chat banking budget,positive,positive,POSITIVE,0.9948911666870117
betam mirt Ena betam le atikakem kelel Yale Ena michu application nw,5,2025-04-22,Dashen,Google Play,betam mirt ena betam le atikakem kelel yale ena michu application nw,neutral,neutral,NEGATIVE,0.9886249303817749
Convenient!,5,2025-04-22,Dashen,Google Play,convenient,neutral,neutral,POSITIVE,0.999121367931366
It is an amazing application that meets the needs of customers.,5,2025-04-22,Dashen,Google Play,amazing application meet need customer,positive,positive,POSITIVE,0.9996914863586426
Effecting payment via the app has created convenience to the recipients in easily confirming the payments received!,5,2025-04-22,Dashen,Google Play,effecting payment via app created convenience recipient easily confirming payment received,positive,positive,NEGATIVE,0.9750913977622986
